* Function Blocks *
RATIO_CONTROL FFIC-103
SW-SCREEN-1.Bool_Out, ScreenActive_OR.IN1
SW-SCREEN-2.Bool_Out, ScreenActive_OR.IN2
SW-SCREEN-3.Bool_Out, ScreenActive_OR.IN3
SW-SCREEN-4.Bool_Out, ScreenActive_OR.IN4
SW-SCREEN-5.Bool_Out, ScreenActive_OR.IN5
SW-SCREEN-6.Bool_Out, ScreenActive_OR.IN6
RES-SCREEN-1.Bool_Out, ScreenActive_OR.IN7
RES-SCREEN-2.Bool_Out, ScreenActive_OR.IN8
RES-SCREEN-3.Bool_Out, ScreenActive_OR.IN9
RES-SCREEN-4.Bool_Out, ScreenActive_OR.IN10
SW-SCREEN-1.Bool_Out, SingleScreen_XOR.IN1
SW-SCREEN-2.Bool_Out, SingleScreen_XOR.IN2
SW-SCREEN-3.Bool_Out, SingleScreen_XOR.IN3
SW-SCREEN-4.Bool_Out, SingleScreen_XOR.IN4
SW-SCREEN-5.Bool_Out, SingleScreen_XOR.IN5
SW-SCREEN-6.Bool_Out, SingleScreen_XOR.IN6
RES-SCREEN-1.Bool_Out, SingleScreen_XOR.IN7
RES-SCREEN-2.Bool_Out, SingleScreen_XOR.IN8
RES-SCREEN-3.Bool_Out, SingleScreen_XOR.IN9
RES-SCREEN-4.Bool_Out, SingleScreen_XOR.IN10
SingleScreen_XOR.OUT, ScreenXor_NOT.IN
ScreenActive_OR.OUT, ScreensConflict_AND.IN1
ScreenXor_NOT.OUT, ScreensConflict_AND.IN2
PT-103.Low_Alarm, CombinedShutdown_OR.IN1
PT-104.Low_Alarm, CombinedShutdown_OR.IN2
PIT-105.Low_Alarm, CombinedShutdown_OR.IN3
PIT-105.High_Alarm, CombinedShutdown_OR.IN4
PIT-106.Low_Alarm, CombinedShutdown_OR.IN5
PIT-106.High_Alarm, CombinedShutdown_OR.IN6
PT-108.Low_Alarm, CombinedShutdown_OR.IN7
PT-108.High_Alarm, CombinedShutdown_OR.IN8
FIC-104.Deviation_Alarm, CombinedShutdown_OR.IN9
FV-105.Position_Error, CombinedShutdown_OR.IN10
ScreensConflict_AND.OUT, CombinedShutdown_OR.IN11
CombinedShutdown_OR.OUT, FFIC-103.Inhibit
CombinedShutdown_OR.OUT, FIC-104.Inhibit
CombinedShutdown_OR.OUT, FV-105.Inhibit
FT-101.PV, FT101_SupplyAirFlow_PV
FT-102.PV, FT102_ScreenAirFlow_PV
PT-103.PV, PT103_UpstreamPressure_PV
PT-104.PV, PT104_DownstreamPressure_PV
PIT-105.PV, PIT105_CompressedAirPressure_PV
PIT-106.PV, PIT106_CleaningSystemPressure_PV
PT-108.PV, PT108_SupplyPressure_PV
FFIC-103.SlaveSP, FFIC103_SlaveSetpoint_FT102Flow
FIC-104.XOUT, FIC104_ValveCommand_Percent
FV-105.Valve_Position, FV105_ValvePosition_Percent
FV-105.Feedback_Pos, FV105_FeedbackPosition_Percent
SW-SCREEN-1.Bool_Out, SW_SCREEN_1_Status
SW-SCREEN-2.Bool_Out, SW_SCREEN_2_Status
SW-SCREEN-3.Bool_Out, SW_SCREEN_3_Status
SW-SCREEN-4.Bool_Out, SW_SCREEN_4_Status
SW-SCREEN-5.Bool_Out, SW_SCREEN_5_Status
SW-SCREEN-6.Bool_Out, SW_SCREEN_6_Status
RES-SCREEN-1.Bool_Out, RES_SCREEN_1_Status
RES-SCREEN-2.Bool_Out, RES_SCREEN_2_Status
RES-SCREEN-3.Bool_Out, RES_SCREEN_3_Status
RES-SCREEN-4.Bool_Out, RES_SCREEN_4_Status

* Parameter Data Connections *
2.0, FFIC-103.RatioSP
0.0, FFIC-103.MV_MIN
1500.0, FFIC-103.MV_MAX
31.25, FT-101.Scaling_Slope
-125.0, FT-101.Scaling_Offset
31.25, FT-102.Scaling_Slope
-125.0, FT-102.Scaling_Offset
50.0, FT-101.PV_Low
TRUE, FT-101.Alarm_Enable
6.0, PT-103.PV_Low
TRUE, PT-103.Alarm_Enable
6.0, PT-104.PV_Low
TRUE, PT-104.Alarm_Enable
4.0, PIT-105.PV_Low
8.0, PIT-105.PV_High
TRUE, PIT-105.Alarm_Enable
4.0, PIT-106.PV_Low
8.0, PIT-106.PV_High
TRUE, PIT-106.Alarm_Enable
5.0, PT-108.PV_Low
9.0, PT-108.PV_High
TRUE, PT-108.Alarm_Enable
T#2s, FV-105.Timeout
0.0, FIC-104.MV_MIN
100.0, FIC-104.MV_MAX
100.0, FV-105.Open_Limit
0.0, FV-105.Close_Limit

