* Function Blocks *
BOOL_IN LS-601
CL-601A.FB_Running, CL-601_DUTY_STANDBY.PumpA_RunFB
CL-601B.FB_Running, CL-601_DUTY_STANDBY.PumpB_RunFB
CL-601_DUTY_STANDBY.CmdPumpA, CL-601A.Start_Cmd
CL-601_DUTY_STANDBY.CmdPumpB, CL-601B.Start_Cmd
PS-601A.FB_Running, PumpRun_OR.IN1
PS-601B.FB_Running, PumpRun_OR.IN2
PumpRun_OR.OUT, PumpDuty_TON.IN
PumpRun_OR.OUT, PumpMinRun_TON.IN
PumpRun_OR.OUT, PumpNotRunning_NOT.IN
PumpNotRunning_NOT.OUT, PumpSwitchoverDelay_TON.IN
PumpDuty_TON.Q, PS-601_DUTY_STANDBY.DutyElapsed
PumpMinRun_TON.Q, PS-601_DUTY_STANDBY.MinRunElapsed
PumpSwitchoverDelay_TON.Q, PS-601_DUTY_STANDBY.SwitchoverDelayElapsed
PS-601A.FB_Running, PS-601_DUTY_STANDBY.PumpA_RunFB
PS-601B.FB_Running, PS-601_DUTY_STANDBY.PumpB_RunFB
PS-601_DUTY_STANDBY.CmdPumpA, PS-601A.Start_Cmd
PS-601_DUTY_STANDBY.CmdPumpB, PS-601B.Start_Cmd
LS-601.Bool_Out, BlanketHigh_OR.IN1
LS-601.Alarm_Active, BlanketHigh_OR.IN2
BlanketHigh_OR.OUT, ClarifierA_Inhibit_OR.IN1
CL-601A.FB_Trip, ClarifierA_Inhibit_OR.IN2
ClarifierA_Inhibit_OR.OUT, CL-601A.Inhibit
ClarifierA_Inhibit_OR.OUT, CL-601_DUTY_STANDBY.PumpA_Fault
BlanketHigh_OR.OUT, ClarifierB_Inhibit_OR.IN1
CL-601B.FB_Trip, ClarifierB_Inhibit_OR.IN2
ClarifierB_Inhibit_OR.OUT, CL-601B.Inhibit
ClarifierB_Inhibit_OR.OUT, CL-601_DUTY_STANDBY.PumpB_Fault
PT-601A.Low_Alarm, PumpA_Inhibit_OR.IN1
BlanketHigh_OR.OUT, PumpA_Inhibit_OR.IN2
PumpA_Inhibit_OR.OUT, PS-601A.Inhibit
PT-601B.Low_Alarm, PumpB_Inhibit_OR.IN1
BlanketHigh_OR.OUT, PumpB_Inhibit_OR.IN2
PumpB_Inhibit_OR.OUT, PS-601B.Inhibit
BlanketHigh_OR.OUT, SystemShutdown_OR.IN1
PT-601A.Low_Alarm, SystemShutdown_OR.IN2
PT-601B.Low_Alarm, SystemShutdown_OR.IN3
SystemShutdown_OR.OUT, CL-601_DUTY_STANDBY.Inhibit
SystemShutdown_OR.OUT, PS-601_DUTY_STANDBY.Inhibit
PS-601A.FB_Trip, PumpFaultA_OR.IN1
PT-601A.Low_Alarm, PumpFaultA_OR.IN2
PumpFaultA_OR.OUT, PS-601_DUTY_STANDBY.PumpA_Fault
PS-601B.FB_Trip, PumpFaultB_OR.IN1
PT-601B.Low_Alarm, PumpFaultB_OR.IN2
PumpFaultB_OR.OUT, PS-601_DUTY_STANDBY.PumpB_Fault
PT-601A.PV, PT_601A_DischargePressure_PV
PT-601B.PV, PT_601B_DischargePressure_PV
LS-601.Bool_Out, LS_601_BlanketLevelSwitchStatus
CL-601A.FB_Running, CL_601A_Running
CL-601B.FB_Running, CL_601B_Running
PS-601A.FB_Running, PS_601A_Running
PS-601B.FB_Running, PS_601B_Running
VS-601A.Feedback_Pos, VS_601A_Feedback_Position_Pct
VS-601B.Feedback_Pos, VS_601B_Feedback_Position_Pct
CL-601_DUTY_STANDBY.ActiveIsA, CL_601_ActiveIsA
PS-601_DUTY_STANDBY.ActiveIsA, PS_601_ActiveIsA
CL-601_DUTY_STANDBY.CmdPumpA, CL_601A_RunCmd
CL-601_DUTY_STANDBY.CmdPumpB, CL_601B_RunCmd
PS-601_DUTY_STANDBY.CmdPumpA, PS_601A_RunCmd
PS-601_DUTY_STANDBY.CmdPumpB, PS_601B_RunCmd

* Parameter Data Connections *
T#72H, ClarifierDuty_TON.PT
T#30M, ClarifierMinRun_TON.PT
T#10S, ClarifierSwitchoverDelay_TON.PT
T#72H, PumpDuty_TON.PT
T#30M, PumpMinRun_TON.PT
T#10S, PumpSwitchoverDelay_TON.PT
T#5S, CL-601A.Start_Delay
T#5S, CL-601B.Start_Delay
T#5S, PS-601A.Start_Delay
T#5S, PS-601B.Start_Delay
T#30M, CL-601A.MinRunTime
T#30M, CL-601B.MinRunTime
T#30M, PS-601A.MinRunTime
T#30M, PS-601B.MinRunTime
25.0, PT-601A.PV_Low
TRUE, PT-601A.Alarm_Enable
25.0, PT-601B.PV_Low
TRUE, PT-601B.Alarm_Enable
TRUE, LS-601.Alarm_OnTrue
FALSE, LS-601.Alarm_OnFalse
TRUE, LS-601.Latch_Enable
100.0, VS-601A.Open_Limit
0.0, VS-601A.Close_Limit
100.0, VS-601B.Open_Limit
0.0, VS-601B.Close_Limit
TRUE, CL-601_DUTY_STANDBY.Enable
TRUE, CL-601_DUTY_STANDBY.StartRequest
TRUE, CL-601_DUTY_STANDBY.AlternateEnable
TRUE, PS-601_DUTY_STANDBY.Enable
TRUE, PS-601_DUTY_STANDBY.StartRequest
TRUE, PS-601_DUTY_STANDBY.AlternateEnable

